"Settlement","Company","brand_in_sett","id","Address","gasoline_avg","diesel_avg","n_days","brand_cat","total_sett","n_competitors_other_brand","on_highway","lat","lon","dist_border_km","near_border_10km","near_border_20km","n_sett_stations","hhi_brand","share_small","share_premium","share_discount","area_ha","population","pop_density","brand_cat_discount","brand_cat_premium","log_n_sett","log_n_competitors_other_brand"
"Szolnok","Omv",3,"Szolnok | Omv | Szolnok, Thököly út 91.","Szolnok, Thököly út 91.",582.9,591.042857142857,7,"premium",15,12,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,1,2.70805020110221,2.48490748312099
"Szolnok","Orlen",1,"Szolnok | Orlen | Szolnok, Tószegi út 18/A","Szolnok, Tószegi út 18/A",584.142857142857,592.571428571429,7,"premium",15,14,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,1,2.70805020110221,2.63905804390072
"Szolnok","Penta-Petrol Kft.",1,"Szolnok | Penta-Petrol Kft. | Szolnok, Tulipán utca 1/A","Szolnok, Tulipán utca 1/A",584,594.142857142857,7,"small",15,14,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,0,2.70805020110221,2.63905804390072
"Szolnok","Shell",3,"Szolnok | Shell | Szolnok, Hunyadi út 2-4.","Szolnok, Hunyadi út 2-4.",584.042857142857,590.471428571429,7,"premium",15,12,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,1,2.70805020110221,2.48490748312099
"Szolnok","Shell",3,"Szolnok | Shell | Szolnok, Téglagyári út 30.","Szolnok, Téglagyári út 30.",584.042857142857,590.471428571429,7,"premium",15,12,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,1,2.70805020110221,2.48490748312099
"Szolnok","Shell",3,"Szolnok | Shell | Szolnok, Tószegi út 5/a.","Szolnok, Tószegi út 5/a.",584.042857142857,590.471428571429,7,"premium",15,12,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,1,2.70805020110221,2.48490748312099
"Szolnok","Volánbusz Zrt.",1,"Szolnok | Volánbusz Zrt. | Szolnok, Nagysándor József út 24.","Szolnok, Nagysándor József út 24.",563,569.142857142857,7,"small",15,14,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,0,2.70805020110221,2.63905804390072
"Szombathely","Concordia Szombathely Kft.",1,"Szombathely | Concordia Szombathely Kft. | Szombathely, Söptei út 78.","Szombathely, Söptei út 78.",580,589,1,"small",12,11,0,47.2291184,16.6187625,12.7631561683322,0,1,12,0.25,0.0833333333333333,0.916666666666667,0,9870,76918,779.311043566363,0,0,2.484906649788,2.39789618188887
"Szombathely","Mol",3,"Szombathely | Mol | Szombathely, Márkus Emília utca 10.","Szombathely, Márkus Emília utca 10.",583.428571428571,590.142857142857,7,"premium",12,9,0,47.2291184,16.6187625,12.7631561683322,0,1,12,0.25,0.0833333333333333,0.916666666666667,0,9870,76918,779.311043566363,0,1,2.484906649788,2.19722568844671
"Szombathely","Mol",3,"Szombathely | Mol | Szombathely, Viktória út 1.","Szombathely, Viktória út 1.",583.428571428571,590.142857142857,7,"premium",12,9,0,47.2291184,16.6187625,12.7631561683322,0,1,12,0.25,0.0833333333333333,0.916666666666667,0,9870,76918,779.311043566363,0,1,2.484906649788,2.19722568844671
