Settlement,query,lat,lon
Szigethalom,Szigethalom Hungary,47.3245067,19.0001884
Szigetszentmiklós,Szigetszentmiklós Hungary,47.345765,19.0409037
Szigetvár,Szigetvár Hungary,46.0474395,17.7993511
Szikszó,Szikszó Hungary,48.2015243,20.9275021
Szilvásvárad,Szilvásvárad Hungary,48.1033386,20.3871297
Szirmabesenyő,Szirmabesenyő Hungary,48.1540642,20.7959687
Szolnok,Szolnok Hungary,47.1753833,20.1946279
Szombathely,Szombathely Hungary,47.2291184,16.6187625
Szántód,Szántód Hungary,46.8693827,17.9045327
Százhalombatta,Százhalombatta Hungary,47.3171992,18.9120948
Szécsény,Szécsény Hungary,48.0802507,19.5206814
Székely,Székely Hungary,48.0598465,21.936369
Székesfehérvár,Székesfehérvár Hungary,47.1910169,18.410811
Székkutas,Székkutas Hungary,46.5069679,20.5384334
Ságvár,Ságvár Hungary,46.8373455,18.1020278
Sárbogárd,Sárbogárd Hungary,46.8874371,18.6196247
Sárkeresztes,Sárkeresztes Hungary,47.2525814,18.3525837
Sármellék,Sármellék Hungary,46.7080843,17.1682755
Sárospatak,Sárospatak Hungary,48.3216823,21.5655524
Sárvár,Sárvár Hungary,47.2517426,16.9342165
Sásd,Sásd Hungary,46.2559563,18.1065598
Sátoraljaújhely,Sátoraljaújhely Hungary,48.3960978,21.6561497
Sóskút,Sóskút Hungary,47.4047185,18.8305621
Sülysáp,Sülysáp Hungary,47.4542606,19.5214828
Sűkösd,Sűkösd Hungary,46.2864294,18.9958175
Sűmeg,Sűmeg Hungary,46.9784329,17.2811657
Tab,Tab Hungary,46.7351014,18.0375186
Tamási,Tamási Hungary,46.6293978,18.2850331
Tapolca,Tapolca Hungary,46.8820972,17.4389619
Tarján,Tarján Hungary,47.6088065,18.5063222
Tata,Tata Hungary,47.6516214,18.3282083
Tatabánya,Tatabánya Hungary,47.583845,18.3979855
Tiszaföldvár,Tiszaföldvár Hungary,46.9803541,20.2541166
Tiszafűred,Tiszafűred Hungary,47.6130877,20.7502258
Tiszakécske,Tiszakécske Hungary,46.931528900000004,20.1045358
Tiszalök,Tiszalök Hungary,48.0171761,21.3749662
Tiszavasvári,Tiszavasvári Hungary,47.956619,21.3680532
Tiszaújváros,Tiszaújváros Hungary,47.9280341,21.0467056
Tokaj,Tokaj Hungary,48.1235534,21.4113895
Tolcsva,Tolcsva Hungary,48.2827761,21.4490584
Tolmács,Tolmács Hungary,47.9294431,19.1090835
Tolna,Tolna Hungary,46.4883447,18.5050005
Tolna-Mözs,Tolna-Mözs Hungary,46.4151827,18.7502292
Tompa,Tompa Hungary,46.2049292,19.5374011
Torony,Torony Hungary,47.5028831,19.0996043
Tárnok,Tárnok Hungary,47.3668787,18.8660065
Téglás,Téglás Hungary,47.7156887,21.6746328
Tét,Tét Hungary,47.5159522,17.5166682
Tószeg,Tószeg Hungary,47.1005785,20.1474605
Tököl,Tököl Hungary,47.3226787,18.9632427
Törökbálint,Törökbálint Hungary,47.4349579,18.9130312
Törökszentmiklós,Törökszentmiklós Hungary,47.1793568,20.409153
Túrkeve,Túrkeve Hungary,47.1050808,20.7420834
Vasvár,Vasvár Hungary,47.0490649,16.7998821
Vecsés,Vecsés Hungary,47.4068966,19.2643066
Velence,Velence Hungary,47.2353177,18.6605263
Veresegyház,Veresegyház Hungary,47.655235,19.2868815
Veszprém,Veszprém Hungary,47.0933824,17.9080406
Villány,Villány Hungary,45.8697644,18.4555208
Visegrád,Visegrád Hungary,47.7845811,18.9703373
Vác,Vác Hungary,47.7782873,19.1278294
Vál,Vál Hungary,47.3665339,18.677646
Vámospércs,Vámospércs Hungary,47.5267293,21.8987164
Várpalota,Várpalota Hungary,47.2006176,18.1399782
Vásárosnamény,Vásárosnamény Hungary,48.1267635,22.312647
Vértesszőlős,Vértesszőlős Hungary,47.6206061,18.3813459
Vésztő,Vésztő Hungary,46.9241978,21.2598799
Zalaegerszeg,Zalaegerszeg Hungary,46.8415803,16.8456316
Zalakomár,Zalakomár Hungary,46.5463542,17.1756684
Zalaszentgrót,Zalaszentgrót Hungary,46.9438023,17.0790205
Zamárdi,Zamárdi Hungary,46.880099,17.9459459
Zirc,Zirc Hungary,47.2613795,17.8718188
Zsámbék,Zsámbék Hungary,47.5483115,18.7174344
Záhony,Záhony Hungary,48.4029055,22.1787677
Ács,Ács Hungary,47.7104229,18.0156133
Ásotthalom,Ásotthalom Hungary,46.2001125,19.7840754
Ászár,Ászár Hungary,47.509266,18.0045383
Érd,Érd Hungary,47.3772495,18.9213833
Érsekcsanád,Érsekcsanád Hungary,46.2519797,18.9822596
Óbarok,Óbarok Hungary,47.5201465,18.5392903
Ónod,Ónod Hungary,48.0011319,20.9144159
Ózd,Ózd Hungary,48.2239095,20.2895983
Öcsöd,Öcsöd Hungary,46.9012341,20.3897025
Újfehértó,Újfehértó Hungary,47.8008977,21.6829931
Üllő,Üllő Hungary,47.3850605,19.3453263
Üröm,Üröm Hungary,47.5987004,19.0134262
Őriszentpéter,Őriszentpéter Hungary,46.8415658,16.4182244
